No,X1 transaction date,X2 house age,X3 bus station,X4 number of stores,X5 latitude,X6 longitude,Y price sq feet
41,2013,13.6,4082.015,0,24.94155,121.50381,107.6
42,2013.5,16.8,4066.587,0,24.94297,121.50342,92.8
43,2013.417,36.1,519.4617,5,24.96305,121.53758,81.4
44,2012.75,34.4,512.7871,6,24.98748,121.54301,88.8
45,2013.583,2.7,533.4762,4,24.97445,121.54765,119.3
46,2013.083,36.6,488.8193,8,24.97015,121.54494,85.9
47,2013.417,21.7,463.9623,9,24.9703,121.54458,88.8
48,2013.583,35.9,640.7391,3,24.97563,121.53715,75.7
49,2013.417,24.2,4605.749,0,24.94684,121.49578,99.4
50,2012.667,29.4,4510.359,1,24.94925,121.49542,80.3
51,2013.417,21.7,512.5487,4,24.974,121.53842,102.7
52,2013.083,31.3,1758.406,1,24.95402,121.55282,82.3
53,2013.583,32.1,1438.579,3,24.97419,121.5175,87.6
54,2013.083,13.3,492.2313,5,24.96515,121.53737,97.4
55,2013.083,16.1,289.3248,5,24.98203,121.54348,93.2
56,2012.833,31.7,1160.632,0,24.94968,121.53009,79.6
57,2013.417,33.6,371.2495,8,24.97254,121.54059,76.8
58,2012.917,3.5,56.47425,7,24.95744,121.53711,106.7
59,2013.5,30.3,4510.359,1,24.94925,121.49542,91.9
60,2013.083,13.3,336.0532,5,24.95776,121.53438,92.2
61,2013.417,11,1931.207,2,24.96365,121.51471,111.2
62,2013.5,5.3,259.6607,6,24.97585,121.54516,103.1
63,2012.917,17.2,2175.877,3,24.96303,121.51254,103.5
64,2013.583,2.6,533.4762,4,24.97445,121.54765,116.6
65,2013.333,17.5,995.7554,0,24.96305,121.54915,91.1
66,2013.417,40.1,123.7429,8,24.97635,121.54329,76.4
67,2013,1,193.5845,6,24.96571,121.54089,119.1
68,2013.5,8.5,104.8101,5,24.96674,121.54067,99.1
69,2013.417,30.4,464.223,6,24.97964,121.53805,90.8
70,2012.833,12.5,561.9845,5,24.98746,121.54391,101.8
71,2013.583,6.6,90.45606,9,24.97433,121.5431,108.1
72,2013.083,35.5,640.7391,3,24.97563,121.53715,79.8
73,2013.583,32.5,424.5442,8,24.97587,121.53913,81.3
74,2013.167,13.8,4082.015,0,24.94155,121.50381,102.7
75,2012.917,6.8,379.5575,10,24.98343,121.53762,119.4
76,2013.5,12.3,1360.139,1,24.95204,121.54842,98.8
77,2013.583,35.9,616.4004,3,24.97723,121.53767,77.2
78,2012.833,20.5,2185.128,3,24.96322,121.51237,85.2
79,2012.917,38.2,552.4371,2,24.97598,121.53381,88.9
80,2013,18,1414.837,1,24.95182,121.54887,91.1
81,2013.5,11.8,533.4762,4,24.97445,121.54765,103.4
82,2013,30.8,377.7956,6,24.96427,121.53964,87.1
83,2013.083,13.2,150.9347,7,24.96725,121.54252,107.5
84,2012.917,25.3,2707.392,3,24.96056,121.50831,99
85,2013.083,15.1,383.2805,7,24.96735,121.54464,104.1
86,2012.75,0,338.9679,9,24.96853,121.54413,109.4
87,2012.833,1.8,1455.798,1,24.9512,121.549,108.7
88,2013.583,16.9,4066.587,0,24.94297,121.50342,96.3
89,2012.917,8.9,1406.43,0,24.98573,121.52758,108.6
90,2013.5,23,3947.945,0,24.94783,121.50243,91.8
91,2012.833,0,274.0144,1,24.9748,121.53059,121
92,2013.25,9.1,1402.016,0,24.98569,121.5276,104
93,2012.917,20.6,2469.645,4,24.96108,121.51046,91
94,2012.917,31.9,1146.329,0,24.9492,121.53076,90.1
95,2012.917,40.9,167.5989,5,24.9663,121.54026,70.6
96,2012.917,8,104.8101,5,24.96674,121.54067,119
97,2013.417,6.4,90.45606,9,24.97433,121.5431,104.5
98,2013.083,28.4,617.4424,3,24.97746,121.53299,81.4
99,2013.417,16.4,289.3248,5,24.98203,121.54348,96.7
100,2013.417,6.4,90.45606,9,24.97433,121.5431,102.5
101,2013.5,17.5,964.7496,4,24.98872,121.53411,108.5
102,2012.833,12.7,170.1289,1,24.97371,121.52984,97.1
103,2013.083,1.1,193.5845,6,24.96571,121.54089,118.5
104,2012.75,0,208.3905,6,24.95618,121.53844,120.2
105,2012.667,32.7,392.4459,6,24.96398,121.5425,79.2
106,2012.833,0,292.9978,6,24.97744,121.54458,115.3
107,2013.083,17.2,189.5181,8,24.97707,121.54308,105.3
108,2013.333,12.2,1360.139,1,24.95204,121.54842,97.5
109,2013.417,31.4,592.5006,2,24.9726,121.53561,80.2
110,2013.583,4,2147.376,3,24.96299,121.51284,117.2
111,2013.083,8.1,104.8101,5,24.96674,121.54067,112
112,2013.583,33.3,196.6172,7,24.97701,121.54224,82.1
113,2013.417,9.9,2102.427,3,24.96044,121.51462,100.6
114,2013.333,14.8,393.2606,6,24.96172,121.53812,97.5
115,2012.667,30.6,143.8383,8,24.98155,121.54142,77.1
116,2013.083,20.6,737.9161,2,24.98092,121.54739,100.1
117,2013,30.9,6396.283,1,24.94375,121.47883,85
118,2013,13.6,4197.349,0,24.93885,121.50383,96.8
119,2013.5,25.3,1583.722,3,24.96622,121.51709,83.6
120,2013.5,16.6,289.3248,5,24.98203,121.54348,110.5
121,2013.167,13.3,492.2313,5,24.96515,121.53737,94.1
122,2013.5,13.6,492.2313,5,24.96515,121.53737,96.8
123,2013.25,31.5,414.9476,4,24.98199,121.54464,84
124,2013.417,0,185.4296,0,24.9711,121.5317,104.7
125,2012.917,9.9,279.1726,7,24.97528,121.54541,104.3
126,2013.167,1.1,193.5845,6,24.96571,121.54089,113.5
127,2013.083,38.6,804.6897,4,24.97838,121.53477,71.4
128,2013.25,3.8,383.8624,5,24.98085,121.54391,113.9
129,2013.083,41.3,124.9912,6,24.96674,121.54039,69
130,2013.417,38.5,216.8329,7,24.98086,121.54162,81.7
131,2013.25,29.6,535.527,8,24.98092,121.53653,87.1
132,2013.5,4,2147.376,3,24.96299,121.51284,113.8
133,2013.167,26.6,482.7581,5,24.97433,121.53863,87.5
134,2012.833,18,373.3937,8,24.9866,121.54082,92.2
135,2012.667,33.4,186.9686,6,24.96604,121.54211,70.3
136,2012.917,18.9,1009.235,0,24.96357,121.54951,96.8
137,2012.75,11.4,390.5684,5,24.97937,121.54245,100.8
138,2013.5,13.6,319.0708,6,24.96495,121.54277,96.7
139,2013.167,10,942.4664,0,24.97843,121.52406,99.4
140,2012.667,12.9,492.2313,5,24.96515,121.53737,93
141,2013.25,16.2,289.3248,5,24.98203,121.54348,99.5
142,2013.333,5.1,1559.827,3,24.97213,121.51627,109.5
143,2013.417,19.8,640.6071,5,24.97017,121.54647,100.1
144,2013.5,13.6,492.2313,5,24.96515,121.53737,96.6
145,2013.083,11.9,1360.139,1,24.95204,121.54842,106.9
146,2012.917,2.1,451.2438,5,24.97563,121.54694,115.6
147,2012.75,0,185.4296,0,24.9711,121.5317,117.4
148,2012.75,3.2,489.8821,8,24.97017,121.54494,107.3
149,2013.5,16.4,3780.59,0,24.93293,121.51203,101.8
150,2012.667,34.9,179.4538,8,24.97349,121.54245,88.7
151,2013.25,35.8,170.7311,7,24.96719,121.54269,86.4
152,2013.5,4.9,387.7721,9,24.98118,121.53788,106.2
153,2013.333,12,1360.139,1,24.95204,121.54842,102.2
154,2013.25,6.5,376.1709,6,24.95418,121.53713,105.6
155,2013.5,16.9,4066.587,0,24.94297,121.50342,106.1
156,2013.167,13.8,4082.015,0,24.94155,121.50381,112.3
157,2013.583,30.7,1264.73,0,24.94883,121.52954,95.4
158,2013.25,16.1,815.9314,4,24.97886,121.53464,100.5
159,2013,11.6,390.5684,5,24.97937,121.54245,100
160,2012.667,15.5,815.9314,4,24.97886,121.53464,93.4
161,2012.917,3.5,49.66105,8,24.95836,121.53756,104.3
162,2013.417,19.2,616.4004,3,24.97723,121.53767,107.1
163,2012.75,16,4066.587,0,24.94297,121.50342,104
164,2013.5,8.5,104.8101,5,24.96674,121.54067,105.5
165,2012.833,0,185.4296,0,24.9711,121.5317,127
166,2012.917,13.7,1236.564,1,24.97694,121.55391,90
167,2013.417,0,292.9978,6,24.97744,121.54458,121
168,2013.417,28.2,330.0854,8,24.97408,0,100.8
169,2013.083,27.6,515.1122,5,24.96299,121.5432,92.3
170,2013.417,8.4,1962.628,1,24.95468,121.55481,115.1
171,2013.333,24,4527.687,0,24.94741,121.49628,101.1
172,2013.083,3.6,383.8624,5,24.98085,121.54391,114.4
173,2013.583,6.6,90.45606,9,24.97433,121.5431,103.7
174,2013.083,41.3,401.8807,4,24.98326,121.5446,79.8
175,2013.417,4.3,432.0385,7,24.9805,121.53778,113
176,2013.083,30.2,472.1745,3,24.97005,121.53758,82.9
177,2012.833,13.9,4573.779,0,24.94867,121.49507,103.4
178,2013.083,33,181.0766,9,24.97697,121.54262,77.4
179,2013.5,13.1,1144.436,4,24.99176,121.53456,95.5
180,2013.083,14,438.8513,1,24.97493,121.5273,102.3
181,2012.667,26.9,4449.27,0,24.94898,121.49621,83
182,2013.167,11.6,201.8939,8,24.98489,121.54121,94.1
183,2013.5,13.5,2147.376,3,24.96299,121.51284,96.7
184,2013.5,17,4082.015,0,24.94155,121.50381,105.7
185,2012.75,14.1,2615.465,0,24.95495,121.56174,96.8
186,2012.75,31.4,1447.286,3,0,121.5173,88.9
187,2013.167,20.9,2185.128,3,24.96322,121.51237,99.7
188,2013,8.9,3078.176,0,24.95464,121.56627,114.2
189,2012.917,34.8,190.0392,8,24.97707,121.54312,73.7
190,2012.917,16.3,4066.587,0,24.94297,121.50342,97.6
191,2013.5,35.3,616.5735,8,24.97945,121.53642,78.3
192,2013.167,13.2,750.0704,2,24.97371,121.54951,109.2
193,2013.167,43.8,57.58945,7,24.9675,121.54069,65.3
194,2013.417,9.7,421.479,5,24.98246,121.54477,105.4
195,2013.5,15.2,3771.895,0,24.93363,121.51158,98.7
196,2013.333,15.2,461.1016,5,24.95425,121.5399,99.5
197,2013,22.8,707.9067,2,24.981,121.54713,106.2
198,2013.25,34.4,126.7286,8,24.96881,121.54089,82.7
199,2013.083,34,157.6052,7,24.96628,121.54196,79.2
200,2013.417,18.2,451.6419,8,24.96945,121.5449,89.1
201,2013.417,17.4,995.7554,0,24.96305,121.54915,90.8
202,2013.417,13.1,561.9845,5,24.98746,121.54391,92.4
203,2012.917,38.3,642.6985,3,24.97559,121.53713,73.2
204,2012.667,15.6,289.3248,5,24.98203,121.54348,89
205,2013,18,1414.837,1,24.95182,121.54887,105.2
206,2013.083,12.8,1449.722,3,24.97289,121.51728,97.7
207,2013.25,22.2,379.5575,10,24.98343,121.53762,106.8
208,2013.083,38.5,665.0636,3,24.97503,121.53692,86
209,2012.75,11.5,1360.139,1,24.95204,121.54842,111.6
210,2012.833,34.8,175.6294,8,24.97347,121.54271,69.1
211,2013.5,5.2,390.5684,5,24.97937,121.54245,105.8
212,2013.083,0,274.0144,1,24.9748,121.53059,111.2
213,2013.333,17.6,1805.665,2,24.98672,121.52091,101.1
214,2013.083,6.2,90.45606,9,24.97433,121.5431,119
215,2013.583,18.1,1783.18,3,24.96731,121.51486,89.5
216,2013.333,19.2,383.7129,8,24.972,121.54477,94
217,2013.25,37.8,590.9292,1,24.97153,121.53559,80.4
218,2012.917,28,372.6242,6,24.97838,121.54119,95.1
219,2013.417,13.6,492.2313,5,24.96515,121.53737,105.5
220,2012.75,29.3,529.7771,8,24.98102,121.53655,82.4
221,2013.333,37.2,186.5101,9,24.97703,121.54265,87.9
222,2013.333,9,1402.016,0,24.98569,121.5276,95.6
223,2013.583,30.6,431.1114,10,24.98123,121.53743,87.3
224,2013.25,9.1,1402.016,0,24.98569,121.5276,99.1
225,2013.333,34.5,324.9419,6,24.97814,121.5417,76.5
226,2013.25,1.1,193.5845,6,24.96571,121.54089,124.9
227,2013,16.5,4082.015,0,24.94155,121.50381,102.9
228,2012.917,32.4,265.0609,8,24.98059,121.53986,93.9
229,2013.417,11.9,3171.329,0,25.00115,121.51776,93.6
230,2013.583,31,1156.412,0,24.9489,121.53095,81.3
231,2013.5,4,2147.376,3,24.96299,121.51284,106.6
232,2012.833,16.2,4074.736,0,24.94235,121.50357,95.5
233,2012.917,27.1,4412.765,1,24.95032,121.49587,91.4
234,2013.333,39.7,333.3679,9,24.98016,121.53932,69.7
235,2013.25,8,2216.612,4,24.96007,121.51361,100.8
236,2012.75,12.9,250.631,7,24.96606,121.54297,105.3
237,2013.167,3.6,373.8389,10,24.98322,121.53765,110.2
238,2013.167,13,732.8528,0,24.97668,121.52518,101
239,2013.083,12.8,732.8528,0,24.97668,121.52518,94.5
240,2013.5,18.1,837.7233,0,24.96334,121.54767,96.4
241,2013.083,11,1712.632,2,24.96412,121.5167,114
242,2013.5,13.7,250.631,7,24.96606,121.54297,107.6
243,2012.833,2,2077.39,3,24.96357,121.51329,104.6
244,2013.417,32.8,204.1705,8,24.98236,121.53923,72.9
245,2013.083,4.8,1559.827,3,24.97213,121.51627,115.4
246,2013.417,7.5,639.6198,5,24.97258,121.54814,120.5
247,2013.417,16.4,389.8219,6,24.96412,121.54273,96.3
248,2013.333,21.7,1055.067,0,24.96211,121.54928,97.5
249,2013,19,1009.235,0,24.96357,121.54951,96.2
250,2012.833,18,6306.153,1,24.95743,121.47516,99.6
251,2013.167,39.2,424.7132,7,24.97429,121.53917,65.5
252,2012.917,31.7,1159.454,0,24.9496,121.53018,83.8
253,2012.833,5.9,90.45606,9,24.97433,121.5431,108.9
254,2012.667,30.4,1735.595,2,24.96464,121.51623,87
255,2012.667,1.1,329.9747,5,24.98254,121.54395,126
256,2013.417,31.5,5512.038,1,24.95095,121.48458,93.5
257,2012.667,14.6,339.2289,1,24.97519,121.53151,101.3
258,2013.25,17.3,444.1334,1,24.97501,121.5273,86.6
259,2013.417,0,292.9978,6,24.97744,121.54458,118.8
260,2013.083,17.7,837.7233,0,24.96334,121.54767,104.7
261,2013.25,17,1485.097,4,24.97073,121.517,88.6
262,2013.167,16.2,2288.011,3,24.95885,121.51359,93.3
263,2012.917,15.9,289.3248,5,24.98203,121.54348,93.5
264,2013.417,3.9,2147.376,3,24.96299,121.51284,116.2
265,2013.167,32.6,493.657,7,24.96968,121.54522,87.6
266,2012.833,15.7,815.9314,4,24.97886,121.53464,108.7
267,2013.25,17.8,1783.18,3,24.96731,121.51486,99.7
268,2012.833,34.7,482.7581,5,24.97433,121.53863,83.5
269,2013.417,17.2,390.5684,5,24.97937,121.54245,107.2
270,2013,17.6,837.7233,0,24.96334,121.54767,106.6
271,2013.333,10.8,252.5822,1,24.9746,121.53046,101.3
272,2012.917,17.7,451.6419,8,24.96945,121.5449,97.8
273,2012.75,13,492.2313,5,24.96515,121.53737,104.9
274,2013.417,13.2,170.1289,1,24.97371,121.52984,92.3
275,2013.167,27.5,394.0173,7,24.97305,121.53994,91.1
276,2012.667,1.5,23.38284,7,24.96772,121.54102,111.6
277,2013,19.1,461.1016,5,24.95425,121.5399,103.5
278,2013.417,21.2,2185.128,3,24.96322,121.51237,84.4
279,2012.75,0,208.3905,6,24.95618,121.53844,110.2
280,2013.417,2.6,1554.25,3,24.97026,121.51642,105.8
281,2013.25,2.3,184.3302,6,24.96581,121.54086,110.7
282,2013.333,4.7,387.7721,9,24.98118,121.53788,113.9
283,2012.917,2,1455.798,1,24.9512,121.549,127
284,2013.417,33.5,1978.671,2,24.98674,121.51844,89
285,2012.917,15,383.2805,7,24.96735,121.54464,112
286,2013.167,30.1,718.2937,3,24.97509,121.53644,92.5
287,2012.917,5.9,90.45606,9,24.97433,121.5431,107.8
288,2013,19.2,461.1016,5,24.95425,121.5399,86.6
289,2013.583,16.6,323.6912,6,24.97841,121.5428,99.3
290,2013.333,13.9,289.3248,5,24.98203,121.54348,113.2
291,2013.083,37.7,490.3446,0,24.97217,121.53471,69.8
292,2012.833,3.4,56.47425,7,24.95744,121.53711,106.6
293,2013.083,17.5,395.6747,5,24.95674,121.534,94.4
294,2012.667,12.6,383.2805,7,24.96735,121.54464,93.2
295,2013.5,26.4,335.5273,6,24.9796,121.5414,91.2
296,2013.167,18.2,2179.59,3,24.96299,121.51252,104.1
297,2012.75,12.5,1144.436,4,24.99176,121.53456,102.3
298,2012.833,34.9,567.0349,4,24.97003,121.5458,91.3
299,2013.333,16.7,4082.015,0,24.94155,121.50381,90.1
300,2013.167,33.2,121.7262,10,24.98178,121.54059,89.5
301,2013.083,2.5,156.2442,4,24.96696,121.53992,121.7
302,2012.75,38,461.7848,0,24.97229,121.53445,75.5
303,2013.5,16.5,2288.011,3,24.95885,121.51359,105.9
304,2013.5,38.3,439.7105,0,24.97161,121.53423,67.2
305,2013.417,20,1626.083,3,24.96622,121.51668,93
306,2013.083,16.2,289.3248,5,24.98203,121.54348,95.7
307,2013.5,14.4,169.9803,1,24.97369,121.52979,90.2
308,2012.833,10.3,3079.89,0,24.9546,121.56627,103.9
309,2013.417,16.4,289.3248,5,24.98203,121.54348,98.3
310,2013.25,30.3,1264.73,0,24.94883,121.52954,86.6
311,2013.583,16.4,1643.499,2,24.95394,121.55174,99.4
312,2013.167,21.3,537.7971,4,24.97425,121.53814,97.7
313,2013.583,35.4,318.5292,9,24.97071,121.54069,85.1
314,2013.333,8.3,104.8101,5,24.96674,121.54067,111.7
315,2013.25,3.7,577.9615,6,24.97201,121.54722,104.8
316,2013.083,15.6,1756.411,2,24.9832,121.51812,100.1
317,2013.25,13.3,250.631,7,24.96606,121.54297,101.2
318,2012.75,15.6,752.7669,2,24.97795,121.53451,101.9
319,2013.333,7.1,379.5575,10,24.98343,121.53762,109.1
320,2013.25,34.6,272.6783,5,24.95562,121.53872,68.2
321,2012.75,13.5,4197.349,0,24.93885,121.50383,100.4
322,2012.917,16.9,964.7496,4,24.98872,121.53411,100.4
323,2013,12.9,187.4823,1,24.97388,121.52981,97
324,2013.417,28.6,197.1338,6,24.97631,121.54436,79.7
325,2012.667,12.4,1712.632,2,24.96412,121.5167,106.9
326,2013.083,36.6,488.8193,8,24.97015,121.54494,70.7
327,2013.5,4.1,56.47425,7,24.95744,121.53711,107
328,2013.417,3.5,757.3377,3,24.97538,121.54971,105.1
329,2012.833,15.9,1497.713,3,24.97003,121.51696,102.1
330,2013,13.6,4197.349,0,24.93885,121.50383,102.7
331,2013.083,32,1156.777,0,24.94935,121.53046,79
332,2013.333,25.6,4519.69,0,24.94826,121.49587,88.8
333,2013.167,39.8,617.7134,2,24.97577,121.53475,77.4
334,2012.75,7.8,104.8101,5,24.96674,121.54067,112.6
335,2012.917,30,1013.341,5,24.99006,121.5346,91.1
336,2013.583,27.3,337.6016,6,24.96431,121.54063,85.7
337,2012.833,5.1,1867.233,2,24.98407,121.51748,102.4
338,2012.833,31.3,600.8604,5,24.96871,121.54651,94.1
339,2012.917,31.5,258.186,9,24.96867,121.54331,97.5
340,2013.333,1.7,329.9747,5,24.98254,121.54395,104.7
341,2013.333,33.6,270.8895,0,24.97281,121.53265,76.2
342,2013,13,750.0704,2,24.97371,121.54951,111.4
343,2012.667,5.7,90.45606,9,24.97433,121.5431,108.8
344,2013,33.5,563.2854,8,24.98223,121.53597,72.9
345,2013.5,34.6,3085.17,0,24.998,121.5155,73.6
346,2012.667,0,185.4296,0,24.9711,121.5317,118.8
347,2013.417,13.2,1712.632,2,24.96412,121.5167,104.4
348,2013.583,17.4,6488.021,1,24.95719,121.47353,98.9
349,2012.833,4.6,259.6607,6,24.97585,121.54516,103.7
350,2012.75,7.8,104.8101,5,24.96674,121.54067,104.3
351,2013,13.2,492.2313,5,24.96515,121.53737,103.3
352,2012.833,4,2180.245,3,24.96324,121.51241,109.9
353,2012.833,18.4,2674.961,3,24.96143,121.50827,101.9
354,2013.5,4.1,2147.376,3,24.96299,121.51284,116.9
355,2013.417,12.2,1360.139,1,24.95204,121.54842,109.1
356,2013.25,3.8,383.8624,5,24.98085,121.54391,106
357,2012.833,10.3,211.4473,1,24.97417,121.52999,117.8
358,2013.417,0,338.9679,9,24.96853,121.54413,107.9
359,2013.167,1.1,193.5845,6,24.96571,121.54089,117.2
360,2013.5,5.6,2408.993,0,24.95505,121.55964,119.6
361,2012.667,32.9,87.30222,10,24.983,121.54022,88.2
362,2013.083,41.4,281.205,8,24.97345,121.54093,80.8
363,2013.417,17.1,967.4,4,24.98872,121.53408,95.1
364,2013.5,32.3,109.9455,10,24.98182,121.54086,72.5
365,2013.417,35.3,614.1394,7,24.97913,121.53666,70.4
366,2012.917,17.3,2261.432,4,24.96182,121.51222,95.4
367,2012.75,14.2,1801.544,1,24.95153,121.55254,113.8
368,2012.833,15,1828.319,2,24.96464,121.51531,109.2
369,2013.417,18.2,350.8515,1,24.97544,121.53119,98.3
370,2012.667,20.2,2185.128,3,24.96322,121.51237,92.1
371,2012.75,15.9,289.3248,5,24.98203,121.54348,110.4
372,2013.5,4.1,312.8963,5,24.95591,121.53956,111.4
373,2013,33.9,157.6052,7,24.96628,121.54196,92.1
374,2013.083,0,274.0144,1,24.9748,121.53059,120.1
375,2013.25,5.4,390.5684,5,24.97937,121.54245,102
376,2013.25,21.7,1157.988,0,24.96165,121.55011,87.8
377,2013.417,14.7,1717.193,2,24.96447,121.51649,89
378,2013.333,3.9,49.66105,8,24.95836,121.53756,109.6
379,2013.333,37.3,587.8877,8,24.97077,121.54634,68.4
380,2013.333,0,292.9978,6,24.97744,121.54458,117.7
381,2013.333,14.1,289.3248,5,24.98203,121.54348,100.1
382,2013.417,8,132.5469,9,24.98298,121.53981,103.7
383,2013,16.3,3529.564,0,24.93207,121.51597,104.5
384,2012.667,29.1,506.1144,4,24.97845,121.53889,79.2
385,2012.75,16.1,4066.587,0,24.94297,121.50342,96.6
386,2013,18.3,82.88643,10,24.983,121.54026,107.8
387,2012.833,0,185.4296,0,24.9711,121.5317,103.8
388,2013.25,16.2,2103.555,3,24.96042,121.51462,104.1
389,2013.5,10.4,2251.938,4,24.95957,121.51353,112.8
390,2013.25,40.9,122.3619,8,24.96756,121.5423,70.6
391,2013.5,32.8,377.8302,9,24.97151,121.5435,79.4
392,2013.583,6.2,1939.749,1,24.95155,121.55387,117.3
393,2013.083,42.7,443.802,6,24.97927,121.53874,81.5
394,2013,16.9,967.4,4,24.98872,121.53408,99.1
395,2013.5,32.6,4136.271,1,24.95544,121.4963,89.1
396,2012.917,21.2,512.5487,4,24.974,121.53842,99.3
397,2012.667,37.1,918.6357,1,24.97198,121.55063,69.5
398,2013.417,13.1,1164.838,4,24.99156,121.53406,105.1
399,2013.417,14.7,1717.193,2,24.96447,121.51649,95.1
400,2012.917,12.7,170.1289,1,24.97371,121.52984,110.8
401,2013.25,26.8,482.7581,5,24.97433,121.53863,101.2
402,2013.083,7.6,2175.03,3,24.96305,121.51254,105.6
403,2012.833,12.7,187.4823,1,24.97388,121.52981,107.8
404,2012.667,30.9,161.942,9,24.98353,121.53966,82.9
405,2013.333,16.4,289.3248,5,24.98203,121.54348,94.7
406,2012.667,23,130.9945,6,24.95663,121.53765,104.1
407,2013.167,1.9,372.1386,7,24.97293,121.54026,100.9
408,2013,5.2,2408.993,0,24.95505,121.55964,101.7
409,2013.417,18.5,2175.744,3,24.9633,121.51243,106.6
410,2013,13.7,4082.015,0,24.94155,121.50381,92
411,2012.667,5.6,90.45606,9,24.97433,121.5431,112.4
412,2013.25,18.8,390.9696,7,24.97923,121.53986,93.6
413,2013,8.1,104.8101,5,24.96674,121.54067,106.8
414,2013.5,6.5,90.45606,9,24.97433,121.5431,114.9
